"player_name","team_abbrev","player_label"
"LaVonta Bentley","STL","LaVonta Bentley (STL)"
"Lawrence Keys III","HOU","Lawrence Keys III (HOU)"
"Leon O'Neal Jr.","DC","Leon O'Neal Jr. (DC)"
"Leonard Payne","STL","Leonard Payne (STL)"
"LeRoy Watson","LOU","LeRoy Watson (LOU)"
"Lonnie Phelps","HOU","Lonnie Phelps (HOU)"
"Lorenzo Lingard","ARL","Lorenzo Lingard (ARL)"
"Louisville Kings","LOU","Louisville Kings (LOU)"
"Lucky Jackson","LOU","Lucky Jackson (LOU)"
"Luis Perez","ARL","Luis Perez (ARL)"
"Lujuan Winningham","HOU","Lujuan Winningham (HOU)"
"Lukas Denis","BHAM","Lukas Denis (BHAM)"
"Luke Lehnen","ARL","Luke Lehnen (ARL)"
"Luq Barcoo","STL","Luq Barcoo (STL)"
"Lyle Santos","ORL","Lyle Santos (ORL)"
"Lynn Bowden Jr.","LOU","Lynn Bowden Jr. (LOU)"
"Mac Brown","LOU","Mac Brown (LOU)"
"Mac McCain","STL","Mac McCain (STL)"
"Maceo Beard-Aigret","DC","Maceo Beard-Aigret (DC)"
"Macklin Ayers","DC","Macklin Ayers (DC)"
"Major Burns","HOU","Major Burns (HOU)"
"Malik Fisher","HOU","Malik Fisher (HOU)"
"Maliq Carr","DC","Maliq Carr (DC)"
"Marco Ortiz","HOU","Marco Ortiz (HOU)"
"Marcus Barnes","COL","Marcus Barnes (COL)"
"Marcus Major","HOU","Marcus Major (HOU)"
"Marcus Minor","ARL","Marcus Minor (ARL)"
"Marcus Simms","BHM","Marcus Simms (BHM)"
"Marcus Yarns","HOU","Marcus Yarns (HOU)"
"Mario Goodrich","BHAM","Mario Goodrich (BHAM)"
"Mark Gilbert","ORL","Mark Gilbert (ORL)"
"Markel Roby","HOU","Markel Roby (HOU)"
"Marlon Williams","BHAM","Marlon Williams (BHAM)"
"Marquez Stevenson","ORL","Marquez Stevenson (ORL)"
"Marquis Waters","LOU","Marquis Waters (LOU)"
"Marvin Moody Jr.","HOU","Marvin Moody Jr. (HOU)"
"Marvin Wilson","BHM","Marvin Wilson (BHM)"
"Mason Brooks","BHAM","Mason Brooks (BHAM)"
"Mason Fairchild","DC","Mason Fairchild (DC)"
"Matt Corral","BHAM","Matt Corral (BHAM)"
"Matt Farniok","CLB","Matt Farniok (CLB)"
"Matt Harmon","HOU","Matt Harmon (HOU)"
"Matt Jones","DAL","Matt Jones (DAL)"
"Matt McCrane","DC","Matt McCrane (DC)"
"Matthew Foster","DC","Matthew Foster (DC)"
"Matthew Hembrough","STL","Matthew Hembrough (STL)"
"Matthew Jones","COL","Matthew Jones (COL)"
"Maximilian Roberts","ORL","Maximilian Roberts (ORL)"
"Mekhi Garner","LOU","Mekhi Garner (LOU)"
"Micah Abraham","ORL","Micah Abraham (ORL)"
"Micah Baskerville","DC","Micah Baskerville (DC)"
"Michael Barrett","STL","Michael Barrett (STL)"
"Michael Dwumfour","STL","Michael Dwumfour (STL)"
"Michael Gonzalez","ORL","Michael Gonzalez (ORL)"
"Michael Hiers","BHAM","Michael Hiers (BHAM)"
"Michael Lantz","ORL","Michael Lantz (ORL)"
"Michael Lawson","CLB","Michael Lawson (CLB)"
"Michael Maietti","DC","Michael Maietti (DC)"
"Michael Ojemudia","STL","Michael Ojemudia (STL)"
"Michael Pratt","STL","Michael Pratt (STL)"
"Michael Tarquin","DC","Michael Tarquin (DC)"
"Mike DiLiello","DC","Mike DiLiello (DC)"
"Mike Edwards","ORL","Mike Edwards (ORL)"
"Mike McAllister","LOU","Mike McAllister (LOU)"
"Mike Novitsky","ARL","Mike Novitsky (ARL)"
"Mike Panasiuk","STL","Mike Panasiuk (STL)"
"Mike Rivers","HOU","Mike Rivers (HOU)"
"Mishael Powell","ORL","Mishael Powell (ORL)"
"Montrell Washington","DC","Montrell Washington (DC)"
"Mose Vavao","ORL","Mose Vavao (ORL)"
"Myles Dorn","DAL","Myles Dorn (DAL)"
"Myles Sims","STL","Myles Sims (STL)"
"Nash Jensen","LOU","Nash Jensen (LOU)"
"Nate Brooks","STL","Nate Brooks (STL)"
"Nate Gilliam","LOU","Nate Gilliam (LOU)"
"Nate Matlack","LOU","Nate Matlack (LOU)"
"Nate McCrary","HOU","Nate McCrary (HOU)"
"Nate Meadors","ORL","Nate Meadors (ORL)"
"Nate Noel","BHM","Nate Noel (BHM)"
"Nehemiah Shelton","CLB","Nehemiah Shelton (CLB)"
"Neil Farrell","STL","Neil Farrell (STL)"
"Nesta Jade Silvera","STL","Nesta Jade Silvera (STL)"
"Nevelle Clarke","STL","Nevelle Clarke (STL)"
"Nick Kubitz","LOU","Nick Kubitz (LOU)"
"Nico Bolden","HOU","Nico Bolden (HOU)"
"N'Kosi Perry","LOU","N'Kosi Perry (LOU)"
"Noah Dawkins","CLB","Noah Dawkins (CLB)"
"Noah Henderson","BHAM","Noah Henderson (BHAM)"
"Noah Johnson","BHAM","Noah Johnson (BHAM)"
"Nolan Henderson","HOU","Nolan Henderson (HOU)"
"O'Donnell Fortune","CLB","O'Donnell Fortune (CLB)"
"Olakunle Fatukasi","BHAM","Olakunle Fatukasi (BHAM)"
"Olive Sagapolu","COL","Olive Sagapolu (COL)"
"Omar Jarvis Jr.","BHM","Omar Jarvis Jr. (BHM)"
"Orlando Storm","ORL","Orlando Storm (ORL)"
"Patrick Jenkins","CLB","Patrick Jenkins (CLB)"
"Paxton Brooks","DC","Paxton Brooks (DC)"
"Payton Bunch","CLB","Payton Bunch (CLB)"
"Peyton Hendershot","DAL","Peyton Hendershot (DAL)"
"Pheldarius Payne","ORL","Pheldarius Payne (ORL)"
"Phillip Webb","BHM","Phillip Webb (BHM)"
"Pita Taumoepenu","STL","Pita Taumoepenu (STL)"
"Preston Wilson","BHM","Preston Wilson (BHM)"
"Quashon Fuller","CLB","Quashon Fuller (CLB)"
"Quinton Newsome","HOU","Quinton Newsome (HOU)"
"Qwynnterrio Cole","ARL","Qwynnterrio Cole (ARL)"
"R.J. Oben","LOU","R.J. Oben (LOU)"
"Rahjai Harris","STL","Rahjai Harris (STL)"
"Raiqwon O'Neal","ARL","Raiqwon O'Neal (ARL)"
"Ra'Mello Dotson","HOU","Ra'Mello Dotson (HOU)"
"Rashard Davis","CLB","Rashard Davis (CLB)"
"Rashard Lawrence","HOU","Rashard Lawrence (HOU)"
"Ravarius Rivers","ORL","Ravarius Rivers (ORL)"
"Raymond Johnson III","STL","Raymond Johnson III (STL)"
"Rayshad Williams","LOU","Rayshad Williams (LOU)"
"Richard Gouraige","STL","Richard Gouraige (STL)"
"Ricky Correia","BHAM","Ricky Correia (BHAM)"
"Roc Taylor","CLB","Roc Taylor (CLB)"
"Roman Parodie","HOU","Roman Parodie (HOU)"
"Ron Stone Jr.","CLB","Ron Stone Jr. (CLB)"
